Season,Age,Tm,Lg,GP,G,A,PTS,GC,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1979-80,19,BOS,NHL,80,17,48,65,23,52,73,12,3,2,1,185,9.2,,
1980-81,20,BOS,NHL,67,27,29,56,23,29,96,17,9,1,6,207,13.0,,
1981-82,21,BOS,NHL,65,17,49,66,23,22,51,13,4,0,2,211,8.1,,
1982-83,22,BOS,NHL,65,22,51,73,26,49,20,15,7,0,5,205,10.7,,
1983-84,23,BOS,NHL,78,31,65,96,35,51,57,18,12,1,5,340,9.1,,
1984-85,24,BOS,NHL,73,20,66,86,29,30,53,9,10,1,1,333,6.0,,
1985-86,25,BOS,NHL,74,19,58,77,26,17,68,8,11,0,3,289,6.6,,
1986-87,26,BOS,NHL,78,23,72,95,32,44,36,16,6,1,3,334,6.9,,
1987-88,27,BOS,NHL,78,17,64,81,27,34,72,9,7,1,5,344,4.9,,
1988-89,28,BOS,NHL,60,18,43,61,22,20,52,12,6,0,0,243,7.4,,
1989-90,29,BOS,NHL,76,19,65,84,28,31,50,11,8,0,3,310,6.1,,
1990-91,30,BOS,NHL,76,21,73,94,32,33,75,14,7,0,3,323,6.5,,
1991-92,31,BOS,NHL,80,21,60,81,28,11,56,13,7,1,2,334,6.3,,
1992-93,32,BOS,NHL,78,19,63,82,27,38,40,11,8,0,7,330,5.8,,
1993-94,33,BOS,NHL,72,20,71,91,30,26,58,7,10,3,1,386,5.2,,
1994-95,34,BOS,NHL,46,12,31,43,15,3,20,3,9,0,2,210,5.7,,
1995-96,35,BOS,NHL,82,20,62,82,28,31,58,9,9,2,2,390,5.1,,
1996-97,36,BOS,NHL,62,19,31,50,19,-11,18,10,8,1,3,230,8.3,,
1997-98,37,BOS,NHL,82,13,35,48,17,2,80,4,9,0,3,264,4.9,,
1998-99,38,BOS,NHL,81,10,47,57,18,-7,34,2,8,0,3,262,3.8,2391,29:31
1999-00,39,TOT,NHL,79,18,34,52,19,-2,26,5,13,0,0,260,6.9,2148,27:11
1999-00,39,BOS,NHL,65,10,28,38,13,-11,20,4,6,0,0,217,4.6,1768,27:12
1999-00,39,COL,NHL,14,8,6,14,6,9,6,1,7,0,0,43,18.6,380,27:08
2000-01,40,COL,NHL,80,7,52,59,18,25,48,3,2,2,0,216,3.2,2088,26:06
Career,,,NHL,1612,410,1169,1579,544,528,1141,221,173,16,60,6206,6.6,6626,27:37