Season,Age,Tm,Lg,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,GPS,G,A,PTS,PIM
1999-00,20,NYI,NHL,24,7,14,1,70,730,660,.904,3.25,1,1292,4.4,0,0,0,0
2000-01,21,FLA,NHL,47,12,24,7,107,1333,1226,.920,2.44,5,2628,10.6,0,0,0,2
2001-02,22,FLA,NHL,58,16,33,4,140,1653,1513,.915,2.77,4,3030,11.6,0,1,1,2
2002-03,23,FLA,NHL,65,20,34,7,164,2011,1847,.918,2.71,6,3627,14.4,0,0,0,4
2003-04,24,FLA,NHL,72,25,33,14,172,2475,2303,.931,2.43,7,4252,20.9,0,3,3,2
2005-06,26,FLA,NHL,75,35,30,9,213,2488,2275,.914,2.97,4,4305,18.5,0,3,3,2
2006-07,27,VAN,NHL,76,47,22,6,171,2169,1998,.921,2.29,5,4490,17.1,0,2,2,10
2007-08,28,VAN,NHL,73,35,29,9,168,2029,1861,.917,2.38,6,4233,14.4,0,3,3,4
2008-09,29,VAN,NHL,54,33,13,7,124,1542,1418,.920,2.34,9,3181,11.1,0,1,1,4
2009-10,30,VAN,NHL,68,40,22,4,167,1915,1748,.913,2.57,4,3899,11.8,0,0,0,0
2010-11,31,VAN,NHL,60,38,15,7,126,1753,1627,.928,2.11,4,3590,13.6,0,3,3,2
2011-12,32,VAN,NHL,55,31,14,8,127,1577,1450,.919,2.41,5,3162,10.7,0,1,1,4
Career,,,NHL,727,339,283,83,1749,21675,19926,.919,2.52,60,41689,159.2,0,17,17,36